sample	treament	idlab	rack	colony	time	treatment	color	population	region	temps	depth (m)	depth (range)	lat	lon	N14	N21	resistance_14	resistance_21	resitance_14_21	relative_resistance	type	
E-7-6-2-T-minus-1	na	7.6.2	7.6	2	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
pop7-1	7.10.2	7.4.2	7.4	2	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	50	Resistant	Normal	Resistant	Resistant	coral	
pop7-2	7.10.6	7.4.6	7.4	6	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	80	Resistant	NormalS	Tolerant	Resistant	coral	
pop7-3	7.11.7	7.5.7	7.5	7	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	15	Resistant	NormalR	Resistant	Resistant	coral	
pop7-4	7.11.8	7.5.8	7.5	8	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop7-5	7.12.7	7.6.7	7.6	7	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	90	Resistant	NormalS	Tolerant	Resistant	coral	
E-7-4-10-T-minus-1	na	7.4.10	7.4	10	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
E-7-4-10-T0-T	na	7.4.10	7.4	10	T0	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
E-7-4-10-T1-T	na	7.4.10	7.4	10	T1	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
E-7-4-10-T2-T	na	7.4.10	7.4	10	T2	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
E-7-4-10-T3-T	na	7.4.10	7.4	10	T3	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop7-6	7.10.10	7.4.10	7.4	10	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop7-7	7.11.5	7.5.5	7.5	5	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop7-8	7.12.3	7.6.3	7.6	3	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	90	100	NormalS	Sensible	Sensible	Sensible	coral	
pop7-9	7.12.4	7.6.4	7.6	4	T-1	O	pred	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	80	100	NormalS	Sensible	Sensible	Sensible	coral	
E-7-6-8-T0-C	na	7.6.8	7.6	8	T0	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	60	100	NormalS	Sensible	Sensible	Sensible	coral	
E-7-6-8-T1-C	na	7.6.8	7.6	8	T1	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	60	100	NormalS	Sensible	Sensible	Sensible	coral	
E-7-6-8-T2-C	na	7.6.8	7.6	8	T2	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	60	100	NormalS	Sensible	Sensible	Sensible	coral	
E-7-6-8-T3-C	na	7.6.8	7.6	8	T3	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	60	100	NormalS	Sensible	Sensible	Sensible	coral	
E-7-6-8-T-minus-1	na	7.6.8	7.6	8	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	60	100	NormalS	Sensible	Sensible	Sensible	coral	
pop7-10	7.12.8	7.6.8	7.6	8	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	60	100	Normal	Sensible	Sensible	Sensible	coral	
pop9-1	9.10.1	9.4.1	9.4	1	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	80	Resistant	NormalS	Tolerant	Resistant	coral	
pop9-2	9.10.7	9.4.7	9.4	7	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	15	Resistant	NormalR	Resistant	Resistant	coral	
pop9-3	9.10.10	9.4.10	9.4	10	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop9-4	9.12.3	9.6.3	9.6	3	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	10	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop9-5	9.12.6	9.6.6	9.6	6	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
